date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:42:16	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73a03c-247b%22	https://technext.github.io/robots.txt		(from )
07:42:16	49150/49150	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-bffe%22	https://technext.github.io/foodeiblog/	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/index.html	(from )
07:42:17	159515/159515	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1169e-26f1b%22	https://technext.github.io/foodeiblog/css/bootstrap.min.css	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/css/bootstrap.min.css	(from https://technext.github.io/foodeiblog/)
07:42:17	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1169e-7918%22	https://technext.github.io/foodeiblog/css/font-awesome.min.css	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/css/font-awesome.min.css	(from https://technext.github.io/foodeiblog/)
07:42:17	25252/25252	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1169e-62a4%22	https://technext.github.io/foodeiblog/css/elegant-icons.css	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/css/elegant-icons.css	(from https://technext.github.io/foodeiblog/)
07:42:17	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1169e-d17%22	https://technext.github.io/foodeiblog/css/owl.carousel.min.css	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/css/owl.carousel.min.css	(from https://technext.github.io/foodeiblog/)
07:42:18	2505/2505	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1169e-9c9%22	https://technext.github.io/foodeiblog/css/slicknav.min.css	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/css/slicknav.min.css	(from https://technext.github.io/foodeiblog/)
07:42:18	56883/56883	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1169e-de33%22	https://technext.github.io/foodeiblog/css/style.css	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/css/style.css	(from https://technext.github.io/foodeiblog/)
07:42:18	49150/49150	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-bffe%22	https://technext.github.io/foodeiblog/index.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/index-2.html	(from https://technext.github.io/foodeiblog/)
07:42:19	4860/4860	---M--	200	added ('OK')	image/png	etag:%225ea1169e-12fc%22	https://technext.github.io/foodeiblog/img/humberger/humberger-logo.png	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/humberger/humberger-logo.png	(from https://technext.github.io/foodeiblog/)
07:42:19	36741/36741	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-8f85%22	https://technext.github.io/foodeiblog/categories-grid.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/categories-grid.html	(from https://technext.github.io/foodeiblog/)
07:42:19	40363/40363	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-9dab%22	https://technext.github.io/foodeiblog/categories-list.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/categories-list.html	(from https://technext.github.io/foodeiblog/)
07:42:20	33623/33623	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-8357%22	https://technext.github.io/foodeiblog/single-post.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/single-post.html	(from https://technext.github.io/foodeiblog/)
07:42:20	51643/51643	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-c9bb%22	https://technext.github.io/foodeiblog/signin.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/signin.html	(from https://technext.github.io/foodeiblog/)
07:42:20	48101/48101	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-bbe5%22	https://technext.github.io/foodeiblog/404.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/404.html	(from https://technext.github.io/foodeiblog/)
07:42:20	31762/31762	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-7c12%22	https://technext.github.io/foodeiblog/typography.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/typography.html	(from https://technext.github.io/foodeiblog/)
07:42:21	18846/18846	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-499e%22	https://technext.github.io/foodeiblog/about.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/about.html	(from https://technext.github.io/foodeiblog/)
07:42:21	18483/18483	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1169e-4833%22	https://technext.github.io/foodeiblog/contact.html	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/contact.html	(from https://technext.github.io/foodeiblog/)
07:42:21	26963/26963	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-6953%22	https://technext.github.io/foodeiblog/img/humberger/humberger-about.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/humberger/humberger-about.jpg	(from https://technext.github.io/foodeiblog/)
07:42:22	17623/17623	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-44d7%22	https://technext.github.io/foodeiblog/img/megamenu/p-1.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/megamenu/p-1.jpg	(from https://technext.github.io/foodeiblog/)
07:42:22	12845/12845	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-322d%22	https://technext.github.io/foodeiblog/img/megamenu/p-2.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/megamenu/p-2.jpg	(from https://technext.github.io/foodeiblog/)
07:42:22	12754/12754	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-31d2%22	https://technext.github.io/foodeiblog/img/megamenu/p-3.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/megamenu/p-3.jpg	(from https://technext.github.io/foodeiblog/)
07:42:23	16593/16593	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-40d1%22	https://technext.github.io/foodeiblog/img/megamenu/p-4.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/megamenu/p-4.jpg	(from https://technext.github.io/foodeiblog/)
07:42:23	11296/11296	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-2c20%22	https://technext.github.io/foodeiblog/img/megamenu/p-5.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/megamenu/p-5.jpg	(from https://technext.github.io/foodeiblog/)
07:42:23	4669/4669	---M--	200	added ('OK')	image/png	etag:%225ea1169e-123d%22	https://technext.github.io/foodeiblog/img/logo.png	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/logo.png	(from https://technext.github.io/foodeiblog/)
07:42:23	149647/149647	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-2488f%22	https://technext.github.io/foodeiblog/img/hero/hero-1.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/hero/hero-1.jpg	(from https://technext.github.io/foodeiblog/)
07:42:24	48417/48417	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-bd21%22	https://technext.github.io/foodeiblog/img/hero/hero-2.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/hero/hero-2.jpg	(from https://technext.github.io/foodeiblog/)
07:42:24	41890/41890	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-a3a2%22	https://technext.github.io/foodeiblog/img/hero/hero-3.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/hero/hero-3.jpg	(from https://technext.github.io/foodeiblog/)
07:42:25	112626/112626	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-1b7f2%22	https://technext.github.io/foodeiblog/img/hero/hero-4.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/hero/hero-4.jpg	(from https://technext.github.io/foodeiblog/)
07:42:26	22010/22010	---M--	200	added ('OK')	image/jpeg	etag:%225ea1169e-55fa%22	https://technext.github.io/foodeiblog/img/categories/cat-1.jpg	D:/1%20NTFS/Websites/FoodieBlog/technext.github.io/foodeiblog/img/categories/cat-1.jpg	(from https://technext.github.io/foodeiblog/)
